Model name: 1605995180.9348865reward-med-game-score-10k
Extra information: reward = reward*game_score
Timestamp: 2020-11-21 22:46:23.049156
Game Rounds Score Epsilon ClearedLines
629 23 12 0.9371000000000069 0
630 23 12 0.9370000000000069 0
631 20 9 0.936900000000007 0
632 21 10 0.936800000000007 0
633 15 4 0.936700000000007 0
634 23 12 0.936600000000007 0
635 21 10 0.936500000000007 0
636 23 12 0.936400000000007 0
637 22 11 0.936300000000007 0
638 20 9 0.936200000000007 0
639 22 11 0.936100000000007 0
640 28 17 0.936000000000007 0
641 19 8 0.9359000000000071 0
642 17 6 0.9358000000000071 0
643 18 7 0.9357000000000071 0
644 18 7 0.9356000000000071 0
645 22 11 0.9355000000000071 0
646 18 7 0.9354000000000071 0
647 28 17 0.9353000000000071 0
648 21 10 0.9352000000000071 0
649 21 10 0.9351000000000071 0
650 23 12 0.9350000000000072 0
651 18 7 0.9349000000000072 0
652 25 18 0.9348000000000072 2
653 23 12 0.9347000000000072 0
654 20 9 0.9346000000000072 0
655 22 11 0.9345000000000072 0
656 23 13 0.9344000000000072 1
657 17 6 0.9343000000000072 0
658 16 5 0.9342000000000072 0
659 20 9 0.9341000000000073 0
660 18 7 0.9340000000000073 0
661 31 20 0.9339000000000073 0
662 14 3 0.9338000000000073 0
663 17 6 0.9337000000000073 0
664 16 5 0.9336000000000073 0
665 22 11 0.9335000000000073 0
666 21 10 0.9334000000000073 0
667 25 14 0.9333000000000073 0
668 25 14 0.9332000000000074 0
669 20 9 0.9331000000000074 0
670 24 13 0.9330000000000074 0
671 19 8 0.9329000000000074 0
672 19 8 0.9328000000000074 0
673 22 11 0.9327000000000074 0
674 21 10 0.9326000000000074 0
675 19 8 0.9325000000000074 0
676 23 12 0.9324000000000074 0
677 22 11 0.9323000000000075 0
678 26 15 0.9322000000000075 0
679 22 11 0.9321000000000075 0
680 22 11 0.9320000000000075 0
681 24 13 0.9319000000000075 0
682 13 2 0.9318000000000075 0
683 23 12 0.9317000000000075 0
684 22 11 0.9316000000000075 0
685 24 13 0.9315000000000075 0
686 13 2 0.9314000000000076 0
687 18 7 0.9313000000000076 0
688 16 5 0.9312000000000076 0
689 18 7 0.9311000000000076 0
690 27 16 0.9310000000000076 0
691 15 4 0.9309000000000076 0
692 22 11 0.9308000000000076 0
693 27 16 0.9307000000000076 0
694 24 13 0.9306000000000076 0
695 15 4 0.9305000000000077 0
696 19 9 0.9304000000000077 1
697 22 11 0.9303000000000077 0
698 14 3 0.9302000000000077 0
699 17 6 0.9301000000000077 0
700 17 6 0.9300000000000077 0
701 15 4 0.9299000000000077 0
702 23 12 0.9298000000000077 0
703 21 10 0.9297000000000077 0
704 23 12 0.9296000000000078 0
705 23 12 0.9295000000000078 0
706 20 9 0.9294000000000078 0
707 22 11 0.9293000000000078 0
708 17 6 0.9292000000000078 0
709 19 8 0.9291000000000078 0
710 19 8 0.9290000000000078 0
711 15 4 0.9289000000000078 0
712 21 10 0.9288000000000078 0
713 21 10 0.9287000000000079 0
714 21 10 0.9286000000000079 0
715 20 9 0.9285000000000079 0
716 23 12 0.9284000000000079 0
717 21 10 0.9283000000000079 0
718 19 8 0.9282000000000079 0
719 19 8 0.9281000000000079 0
720 24 13 0.9280000000000079 0
721 17 6 0.9279000000000079 0
722 20 9 0.927800000000008 0
723 23 12 0.927700000000008 0
724 22 11 0.927600000000008 0
725 17 6 0.927500000000008 0
726 24 13 0.927400000000008 0
727 20 9 0.927300000000008 0
728 21 10 0.927200000000008 0
729 24 13 0.927100000000008 0
730 21 10 0.927000000000008 0
731 13 2 0.926900000000008 0
732 22 11 0.9268000000000081 0
733 19 8 0.9267000000000081 0
734 17 6 0.9266000000000081 0
735 18 7 0.9265000000000081 0
736 18 7 0.9264000000000081 0
737 21 10 0.9263000000000081 0
738 23 12 0.9262000000000081 0
739 25 15 0.9261000000000081 1
740 14 3 0.9260000000000081 0
741 22 11 0.9259000000000082 0
742 19 8 0.9258000000000082 0
743 18 7 0.9257000000000082 0
744 13 2 0.9256000000000082 0
745 13 2 0.9255000000000082 0
746 21 10 0.9254000000000082 0
747 23 12 0.9253000000000082 0
748 22 11 0.9252000000000082 0
749 22 11 0.9251000000000082 0
750 23 12 0.9250000000000083 0
751 19 8 0.9249000000000083 0
752 21 10 0.9248000000000083 0
753 23 12 0.9247000000000083 0
754 29 18 0.9246000000000083 0
755 21 10 0.9245000000000083 0
756 17 6 0.9244000000000083 0
757 20 9 0.9243000000000083 0
758 26 15 0.9242000000000083 0
759 17 6 0.9241000000000084 0
760 23 12 0.9240000000000084 0
761 16 5 0.9239000000000084 0
762 19 8 0.9238000000000084 0
763 21 10 0.9237000000000084 0
764 26 15 0.9236000000000084 0
765 20 9 0.9235000000000084 0
766 17 6 0.9234000000000084 0
